City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,sao jose da coroa grande,-8.8978,-35.1478,78.51,76.0,27.0,11.77,BR,1689618217.0
181,qaanaaq,77.484,-69.3632,38.46,84.0,9.0,5.06,GL,1689618217.0
182,port hardy,50.6996,-127.4199,66.38,68.0,75.0,5.75,CA,1689618217.0
183,xining,36.6167,101.7667,54.43,74.0,38.0,1.36,CN,1689618218.0
184,concepcion del oro,24.6333,-101.4167,77.05,23.0,11.0,8.57,MX,1689618218.0
185,xuchang,34.0167,113.8167,75.29,79.0,0.0,3.8,CN,1689618220.0
186,lae,-6.7221,146.9847,75.69,82.0,48.0,5.3,PG,1689618220.0
187,huarmey,-10.0681,-78.1522,74.32,66.0,50.0,11.01,PE,1689618220.0
189,mitsamiouli,-11.3847,43.2844,78.03,79.0,26.0,11.5,KM,1689618221.0
190,charyshskoye,51.3978,83.5598,58.21,82.0,65.0,3.62,RU,1689618222.0
192,belaya gora,68.5333,146.4167,56.88,62.0,8.0,3.47,RU,1689618223.0
193,tarija,-21.5355,-64.7296,60.71,51.0,40.0,8.05,BO,1689618223.0
194,carnarvon,-24.8667,113.6333,62.65,56.0,2.0,9.15,AU,1689618224.0
195,birao,10.2849,22.7882,83.97,54.0,49.0,0.92,CF,1689618224.0
196,singkang,2.1006,102.7994,75.94,94.0,99.0,1.9,MY,1689618224.0
197,carutapera,-1.195,-46.02,84.25,68.0,11.0,10.78,BR,1689618225.0
198,severo-kurilsk,50.6789,156.125,49.69,97.0,90.0,11.97,RU,1689618225.0
199,ceres,37.5949,-120.9577,104.79,37.0,0.0,8.05,US,1689618225.0
200,tautira,-17.7333,-149.15,76.6,67.0,29.0,7.38,PF,1689618226.0
201,saint george,37.1041,-113.5841,105.44,16.0,0.0,4.61,US,1689618226.0
202,pochutla,15.7432,-96.4661,93.81,55.0,100.0,6.29,MX,1689618226.0
203,qasigiannguit,68.8193,-51.1922,43.05,92.0,98.0,4.36,GL,1689618227.0
204,hithadhoo,-0.6,73.0833,82.67,71.0,83.0,2.75,MV,1689618227.0
205,sao caetano de odivelas,-0.75,-48.02,79.03,89.0,21.0,8.81,BR,1689618228.0
206,talnakh,69.4865,88.3972,45.81,88.0,97.0,13.35,RU,1689618228.0
207,marawi,7.9986,124.2928,69.67,92.0,99.0,2.53,PH,1689618229.0
208,vila velha,-20.3297,-40.2925,84.15,71.0,0.0,12.66,BR,1689618229.0
209,mantua,45.1667,10.7833,94.24,66.0,0.0,4.12,IT,1689618229.0
210,fort nelson,58.8053,-122.7002,58.59,88.0,100.0,9.22,CA,1689618230.0
211,lewistown,40.5992,-77.5714,85.87,79.0,20.0,4.61,US,1689618002.0
212,khatanga,71.9667,102.5,36.21,80.0,71.0,10.98,RU,1689618230.0
213,hasaki,35.7333,140.8333,73.8,88.0,0.0,0.65,JP,1689618213.0
214,ahipara,-35.1667,173.1667,54.12,88.0,10.0,8.55,NZ,1689618231.0
216,adrar,20.5022,-10.0711,100.38,22.0,59.0,11.56,MR,1689618233.0
217,olafsvik,64.8945,-23.7142,49.86,78.0,80.0,13.76,IS,1689618233.0
218,ntoum,0.3833,9.7833,76.77,77.0,97.0,6.55,GA,1689618234.0
219,hillsborough,37.5741,-122.3794,88.29,66.0,75.0,8.05,US,1689618133.0
220,ribeira grande,38.5167,-28.7,73.8,64.0,40.0,9.22,PT,1689618235.0
221,tabas,33.5959,56.9244,104.22,11.0,4.0,9.22,IR,1689618235.0
222,zhanaozen,43.3,52.8,72.66,47.0,18.0,13.89,KZ,1689618236.0
223,yaan,7.3833,8.5667,79.47,81.0,88.0,6.2,NG,1689618236.0
224,moissala,8.3404,17.7663,81.41,66.0,12.0,4.92,TD,1689618236.0
225,dawlatabad,36.4141,64.9053,89.8,15.0,0.0,4.23,AF,1689618237.0
226,ilhabela,-23.7781,-45.3581,71.94,70.0,69.0,4.38,BR,1689618237.0
227,caucaia,-3.7361,-38.6531,85.95,3.0,20.0,19.57,BR,1689618222.0
228,freeport,40.6576,-73.5832,92.95,70.0,0.0,12.66,US,1689618238.0
229,ancud,-41.8697,-73.8203,44.62,60.0,34.0,6.53,CL,1689618066.0
230,torbay,47.6666,-52.7314,85.87,54.0,75.0,17.27,CA,1689618240.0
231,whitehorse,60.7161,-135.0538,59.09,90.0,100.0,4.0,CA,1689617969.0
232,barra patuca,15.8,-84.2833,83.17,85.0,100.0,11.88,HN,1689618240.0
233,milos,36.75,24.4333,78.82,67.0,0.0,20.2,GR,1689618154.0
235,nelson bay,-32.7167,152.15,55.0,100.0,10.0,1.99,AU,1689618241.0
236,klaksvik,62.2266,-6.589,50.92,84.0,100.0,26.73,FO,1689618242.0
